alpha,slide,pos,recall
0.5,080119-39,1,49.685534591194966
0.5,080119-44,1,33.108108108108105
0.5,080119-45,1,6.282722513089005
0.5,080119-46,1,0.0
0.5,080119-47,0,51.29533678756477
0.5,080119-48,0,61.25654450261781
0.5,080119-49,0,22.705314009661837
0.5,080119-55,1,44.36619718309859
0.5,101017-04,0,71.59763313609467
0.5,101017-07,1,32.967032967032964
0.5,101017-09,1,29.37853107344633
0.5,101017-11,1,6.976744186046512
0.5,101017-12,1,7.179487179487179
0.5,101017-15,0,15.909090909090908
0.5,101017-16,0,52.352941176470594
0.5,101017-17,1,20.930232558139537
0.5,101017-18,0,24.528301886792452
0.5,101017-19,1,15.172413793103448
0.5,101017-21,1,2.898550724637681
0.5,101017-24,1,2.209944751381215
0.5,101017-26,0,53.503184713375795
