slide,inst,rec@0.5,area,ecc,extent,axis_ratio
280120-07,49,1,8472,0.7862068525199527,0.7100829771184309,1.6182187684529918
280120-07,50,1,13189,0.5925781063683471,0.7569444444444444,1.241444897967562
280120-07,51,1,7301,0.568107517543946,0.7548593879239041,1.215134241765759
280120-07,52,1,9705,0.6330328623400331,0.7735533237685318,1.2917811729094455
280120-07,53,0,8556,0.8444604320129171,0.5709328706793007,1.8670024347153535
280120-07,54,1,4865,0.7153867085257273,0.7192489651094027,1.4311705494076463
280120-07,55,0,7854,0.4902402468817602,0.8391025641025641,1.147331940385608
280120-07,56,1,13516,0.4066325871693942,0.7584736251402918,1.094580777486451
280120-07,57,1,10431,0.5948245360538361,0.789688848512378,1.2440045725242186
280120-07,58,1,8320,0.8101088448599966,0.7441860465116279,1.7056710822989165
280120-07,59,1,8303,0.4546324014843541,0.7853021848103661,1.122738732895832
280120-07,60,1,6711,0.5182542566858441,0.8152332361516035,1.1692807592151564
280120-07,61,1,6597,0.3438172465926861,0.7802483737433471,1.0649212394448548
280120-07,62,1,9177,0.5702301301869851,0.7700117469374056,1.2173076865537804
280120-07,63,1,9898,0.3467939570080084,0.7621467621467621,1.066164759677084
280120-07,64,1,8973,0.7407406164128463,0.7383969716919025,1.4885578815728715
280120-07,65,1,9101,0.5734524529487847,0.7674987350312026,1.2206452450477645
280120-07,66,1,11240,0.2639185217229207,0.7872251015548396,1.0367582882927766
280120-07,67,1,9223,0.6493327953654373,0.7314036478984932,1.3149168086806866
280120-07,68,1,7073,0.7269203203055618,0.752767134951043,1.4561937332179475
280120-07,69,1,8611,0.534510117761716,0.773674752920036,1.183205007519507
280120-07,70,1,7464,0.4215271357519554,0.7464746474647465,1.10275980298779
280120-07,71,1,7944,0.7402646692918554,0.7195652173913043,1.487396769543083
280120-07,72,1,12345,0.4722103822088299,0.7419761990623873,1.1344481219566016
280120-07,73,1,10045,0.6338163852536283,0.7210020097616997,1.2928523306152957
280120-07,74,1,10932,0.4432260533196743,0.7550766680480729,1.115561114235125
280120-07,75,1,10657,0.5144012984123949,0.7884729209825392,1.1661133167591584
280120-07,76,1,8761,0.3531999391234596,0.7594486823855756,1.0688923999485471
280120-07,77,0,4508,0.4867802724844074,0.805,1.144787646149782
280120-07,78,1,7371,0.4190214766109668,0.726063829787234,1.10135030536509
280120-07,79,1,9461,0.6128549182493624,0.7761279737489746,1.2655096913282984
280120-07,80,1,9216,0.5513748626992682,0.7836734693877551,1.1986705153632038
280120-07,81,1,8088,0.4636761442595345,0.7435190292333149,1.1286621089419024
280120-07,82,1,9705,0.4659103082150734,0.7669511616880038,1.13015810158482
280120-07,83,1,11636,0.2264872745064089,0.7754231640677063,1.026679156874874
280120-07,84,1,8470,0.7126104982073032,0.7528888888888889,1.425395059906419
280120-07,85,1,12303,0.2238595653938927,0.8001951219512196,1.0260394329605569
280120-07,86,1,5955,0.4486976376185927,0.7705745341614907,1.1189642136945128
280120-07,87,1,13120,0.5238590914982755,0.7208791208791209,1.173977697815379
280120-07,88,1,7682,0.7436593549125124,0.7461149961149961,1.495754924904367
280120-07,89,1,6509,0.5366899568060393,0.7645055203194738,1.185143711059
280120-07,90,1,10324,0.4144005348087376,0.6974261973924205,1.0987868628837325
280120-07,91,1,11571,0.4638870792561534,0.7549422587590526,1.1288027898600743
280120-07,92,1,8368,0.4167085718672504,0.7601053683349986,1.1000614406862033
280120-07,93,0,10541,0.3852467718046748,0.7507834757834758,1.083642470287402
280120-07,94,1,7612,0.420022853728786,0.7870140612076096,1.101911949353015
280120-07,95,0,7224,0.3532966424262898,0.7839392295170917,1.0689341203779883
280120-07,96,1,10373,0.5361749638375323,0.7358303185074838,1.1846841145586968
